scenery;sequence_size;sequence;total;total_time_span;avg_time_span;i_support;s_support;ids;grade_avg;grade_avg_deviation;grade_median;grade_mode;max_grade
2;3;forum_vis_END_SOME>assignment_vis_END>assignment_try_END;189;632738;350494.72;378;189;189;1.46;0.46;1.5;1.5;2
2;3;forum_vis_END_SOME>assignment_try_END>assignment_sub_END;195;632738;350839.14;384;195;195;1.45;0.46;1.5;1.5;2
2;3;forum_participation_END>assignment_vis_END>assignment_sub_END;176;633086;376653.03;176;176;176;1.44;0.46;1.5;1.5;2
2;3;forum_vis_END>forum_vis_END>assignment_vis_END;185;633086;355282.39;370;185;185;1.38;0.5;1.5;1.5;2
2;3;forum_vis_END>forum_vis_END>assignment_sub_END;188;633086;356587.88;373;188;188;1.38;0.5;1.5;1.5;2
2;3;forum_vis_END>assignment_vis_END>assignment_sub_END;446;633086;327138.12;2431;446;446;1.39;0.5;1.5;1.5;2
2;3;forum_vis_END>assignment_vis_END>assignment_try_END;363;633086;313165.72;1084;363;363;1.41;0.5;1.5;1.5;2
2;3;forum_vis_END>assignment_vis_END>assignment_vis_END;216;632823;342420.44;432;216;216;1.38;0.5;1.5;1.5;2
2;3;forum_vis_END>assignment_try_END>assignment_sub_END;372;633086;314990.59;1098;372;372;1.4;0.5;1.5;1.5;2
2;3;forum_vis_END>resource_vis_END>assignment_vis_END;220;632059;318295.7;440;220;220;1.38;0.52;1.5;1.5;2
2;3;forum_vis_END>resource_vis_END>assignment_sub_END;231;632059;317271.1;451;231;231;1.37;0.52;1.5;1.5;2
2;3;resource_vis_END_SOME>assignment_vis_END>assignment_sub_END;198;633018;269184.24;198;198;198;1.35;0.54;1.5;1.5;2
2;3;resource_vis_END_SOME>assignment_try_END>assignment_sub_END;168;633018;251327.22;168;168;168;1.37;0.55;1.5;1.5;2
2;4;resource_vis_START>assignment_vis_START>assignment_vis_END>assignment_try_END;197;633747;521627.64;394;197;197;1.39;0.54;1.5;1.5;2
2;4;resource_vis_START>assignment_vis_START>assignment_vis_END>assignment_sub_END;288;633822;510181.59;485;288;288;1.41;0.53;1.5;1.5;2
2;4;resource_vis_START>assignment_vis_START>assignment_try_END>assignment_sub_END;214;633822;522118.78;411;214;214;1.41;0.55;1.5;1.5;2
2;4;resource_vis_START>assignment_vis_START>assignment_try_START>assignment_vis_START;169;633822;358162.8;169;169;169;1.4;0.55;1.5;1.5;2
