sequence_size;sequence;total;total_time_span;avg_time_span;i_support;s_support;ids;grade_avg;grade_median;grade_mode;max_grade
4;assignment_vis>forum_vis>resource_vis>resource_vis;168;633463;418279.4880952381;336;168;168;1.32 (+- 0.55);1.5;1.5;2
4;assignment_vis>forum_vis>resource_vis>assignment_sub;265;633569;402220.8754716981;978;265;265;1.38 (+- 0.52);1.5;1.5;2
4;assignment_try>resource_vis>assignment_vis>assignment_sub;267;633768;381692.2284644195;267;267;267;1.37 (+- 0.53);1.5;1.5;2
4;assignment_try>resource_vis>resource_vis>assignment_sub;281;633768;372097.256227758;281;281;281;1.31 (+- 0.53);1.5;1.5;2
4;assignment_try>assignment_vis>assignment_vis>assignment_sub;262;633918;410595.03435114503;430;262;262;1.33 (+- 0.52);1.5;1.5;2
4;assignment_try>assignment_vis>resource_vis>assignment_sub;242;633768;406524.85537190083;242;242;242;1.32 (+- 0.50);1.5;1.5;2
4;forum_vis>resource_vis>assignment_try>assignment_sub;191;633077;387688.7329842932;191;191;191;1.42 (+- 0.48);1.5;1.5;2
4;forum_vis>resource_vis>resource_vis>assignment_vis;185;633077;427205.76216216217;370;185;185;1.42 (+- 0.52);1.5;1.5;2
4;forum_vis>resource_vis>resource_vis>forum_vis;211;633077;397432.327014218;770;211;211;1.45 (+- 0.48);1.5;1.5;2
4;forum_vis>resource_vis>resource_vis>assignment_sub;353;633726;381983.76203966007;2922;353;353;1.42 (+- 0.50);1.5;1.5;2
4;forum_vis>resource_vis>resource_vis>resource_vis;232;632750;395059.7586206897;1154;232;232;1.41 (+- 0.50);1.5;1.5;2
4;forum_vis>resource_vis>assignment_vis>assignment_sub;265;633077;390376.22641509434;832;265;265;1.43 (+- 0.52);1.5;1.5;2
4;forum_vis>resource_vis>forum_vis>forum_vis;235;633077;407529.7489361702;2330;235;235;1.47 (+- 0.46);1.5;1.5;2
4;forum_vis>resource_vis>forum_vis>assignment_sub;290;633077;387640.4379310345;2647;290;290;1.46 (+- 0.48);1.5;1.5;2
