sequence_size;sequence;total;total_time_span;avg_time_span;i_support;f_support;s_support;ids;grade_avg;grade_median;grade_mode;max_grade
4;assignment_sub>forum_vis>assignment_try>assignment_sub;173;690227;548321.6300578035;173;1;173;173;1.31 (+- 0.48);1.5;1.5;2
4;assignment_sub>resource_vis>resource_vis>assignment_vis;164;690506;567677.1768292683;328;2;164;164;1.19 (+- 0.53);1.0;1.5;2
4;assignment_sub>resource_vis>resource_vis>assignment_sub;260;690516;553381.2807692308;1191;6;260;260;1.18 (+- 0.54);1.0;1.5;2
4;assignment_sub>resource_vis>forum_vis>assignment_sub;171;690482;544953.2397660819;171;1;171;171;1.26 (+- 0.53);1.5;1.5;2
4;assignment_sub>resource_vis>assignment_vis>assignment_sub;352;690528;555772.1761363636;3104;14;352;352;1.21 (+- 0.52);1.0;1.5;2
4;assignment_sub>resource_vis>assignment_vis>assignment_vis;218;690516;556384.7660550459;838;4;218;218;1.22 (+- 0.53);1.0;1.5;2
4;assignment_sub>resource_vis>assignment_sub>assignment_vis;200;690249;588019.905;784;4;200;200;1.23 (+- 0.50);1.5;1.5;2
4;assignment_sub>resource_vis>assignment_sub>assignment_sub;264;690249;584786.5378787878;1093;5;264;264;1.24 (+- 0.51);1.5;1.5;2
4;assignment_sub>resource_vis>assignment_try>assignment_sub;180;690237;556399.4888888889;345;2;180;180;1.25 (+- 0.55);1.5;1.5;2
4;assignment_sub>forum_participation>forum_vis>assignment_sub;167;690266;521955.32934131735;334;2;167;167;1.29 (+- 0.51);1.5;1.5;2
4;assignment_vis>assignment_vis>assignment_vis>assignment_try;580;690554;487332.69655172416;15895;66;580;580;1.25 (+- 0.55);1.5;1.5;2
4;assignment_vis>assignment_vis>assignment_vis>assignment_sub;1348;690598;435300.9599406528;82498;309;1348;1348;1.19 (+- 0.57);1.0;1.5;2
