sequence_size;sequence;total;total_time_span;avg_time_span;i_support;f_support;s_support;ids;grade_avg;grade_median;grade_mode;max_grade
3;assignment_try_START>assignment_try_END>assignment_vis_END;556;690524;593464.0179856115;70284;220;556;556;1.26 (+- 0.51);1.5;1.5;2
3;assignment_try_START>assignment_try_END>assignment_sub_END;755;690598;591333.1430463577;112674;342;755;755;1.23 (+- 0.54);1.5;1.5;2
3;assignment_try_START>assignment_try_END>assignment_try_END;382;690303;601602.5183246073;44816;128;382;382;1.26 (+- 0.52);1.5;1.5;2
3;assignment_try_START>assignment_sub_END>assignment_vis_END;537;690538;595455.3296089385;61292;188;537;537;1.27 (+- 0.52);1.5;1.5;2
3;assignment_try_START>assignment_sub_END>assignment_try_END;397;690524;597084.9622166246;45040;128;397;397;1.27 (+- 0.51);1.5;1.5;2
3;assignment_try_START>assignment_sub_END>assignment_sub_END;537;690538;595455.3296089385;59908;180;537;537;1.27 (+- 0.52);1.5;1.5;2
3;assignment_try_START>resource_vis_START>assignment_sub_START;231;689334;376703.40692640695;854;4;231;231;1.17 (+- 0.60);1.0;1.0;2
3;assignment_try_START>resource_vis_START>assignment_vis_START;274;690451;434238.1678832117;2082;10;274;274;1.21 (+- 0.57);1.25;1.5;2
3;assignment_try_START>resource_vis_START>assignment_vis_END;240;690451;585702.8333333334;3116;16;240;240;1.24 (+- 0.55);1.5;1.5;2
3;assignment_try_START>resource_vis_START>assignment_try_END;169;690451;596060.9289940828;1352;8;169;169;1.23 (+- 0.55);1.5;1.5;2
3;assignment_try_START>resource_vis_START>assignment_sub_END;241;690451;585273.7593360996;2760;14;241;241;1.24 (+- 0.55);1.5;1.5;2
3;assignment_try_START>assignment_try_START>assignment_sub_START;239;690185;243480.05020920502;1744;8;239;239;1.22 (+- 0.55);1.5;1.5;2
3;assignment_try_START>assignment_try_START>assignment_vis_START;173;690157;426426.3583815029;692;4;173;173;1.27 (+- 0.54);1.5;1.5;2
3;assignment_try_START>forum_vis_END>assignment_vis_END;223;690506;593172.3318385651;3776;20;223;223;1.26 (+- 0.53);1.5;1.5;2
3;assignment_try_START>forum_vis_END>assignment_sub_END;225;690506;593215.6711111111;3798;20;225;225;1.27 (+- 0.53);1.5;1.5;2
3;assignment_try_START>forum_vis_START>assignment_vis_START;173;690438;479403.69942196534;346;2;173;173;1.29 (+- 0.50);1.5;1.5;2
3;assignment_try_START>forum_vis_START>assignment_vis_END;211;690438;583627.2654028436;3500;20;211;211;1.27 (+- 0.51);1.5;1.5;2
3;assignment_try_START>forum_vis_START>assignment_try_END;162;690296;591137.5555555555;1296;8;162;162;1.25 (+- 0.51);1.5;1.5;2
3;assignment_try_START>forum_vis_START>assignment_sub_END;212;690438;583149.287735849;3176;18;212;212;1.28 (+- 0.51);1.5;1.5;2
3;assignment_try_START>resource_vis_END>assignment_vis_END;376;690528;589105.1781914893;25578;118;376;376;1.21 (+- 0.52);1.5;1.5;2
3;assignment_try_START>resource_vis_END>assignment_try_END;263;690528;597758.4562737643;13872;68;263;263;1.20 (+- 0.52);1.0;1.5;2
3;assignment_try_START>resource_vis_END>assignment_sub_END;386;690528;588765.4248704663;23859;108;386;386;1.22 (+- 0.52);1.5;1.5;2
3;assignment_sub_START>assignment_vis_START>assignment_vis_END;836;690598;589695.1913875598;117129;389;836;836;1.23 (+- 0.53);1.5;1.5;2
3;assignment_sub_START>assignment_vis_START>assignment_try_END;688;690598;594121.0683139535;88108;282;688;688;1.23 (+- 0.53);1.5;1.5;2
3;assignment_sub_START>assignment_vis_START>assignment_sub_END;837;690598;589566.8769414576;104298;340;837;837;1.23 (+- 0.53);1.5;1.5;2
3;assignment_sub_START>assignment_vis_START>assignment_try_START;344;690258;341632.75;3709;17;344;344;1.27 (+- 0.53);1.5;1.5;2
3;assignment_sub_START>assignment_vis_START>assignment_sub_START;260;690185;209790.79615384617;1828;8;260;260;1.25 (+- 0.53);1.5;1.5;2
