sequence_size;sequence;total;total_time_span;avg_time_span;i_support;f_support;s_support;ids;grade_avg;grade_median;grade_mode;max_grade
3;forum_vis_END>forum_vis_END>assignment_sub_END;206;690540;508542.03883495147;206;1;206;206;1.33 (+- 0.52);1.5;1.5;2
3;forum_vis_END>forum_participation_END>assignment_sub_END;167;690075;507255.2874251497;167;1;167;167;1.31 (+- 0.53);1.5;1.5;2
3;resource_vis_END>assignment_sub_END>assignment_sub_END;329;690540;473802.717325228;1117;5;329;329;1.28 (+- 0.52);1.5;1.5;2
3;resource_vis_END>assignment_try_END>assignment_sub_END;187;690540;467497.2459893048;187;1;187;187;1.28 (+- 0.54);1.5;1.5;2
4;assignment_sub_START>assignment_vis_START>assignment_try_END>assignment_sub_END;326;690282;593852.3680981596;326;1;326;326;1.25 (+- 0.52);1.5;1.5;2
4;assignment_sub_START>assignment_vis_START>assignment_sub_END>assignment_sub_END;449;690303;601326.3363028953;613;2;449;449;1.28 (+- 0.51);1.5;1.5;2
4;assignment_sub_START>assignment_vis_START>assignment_vis_END>assignment_sub_END;243;690237;598220.2263374486;422;2;243;243;1.26 (+- 0.50);1.5;1.5;2
4;assignment_sub_START>assignment_vis_START>assignment_vis_END>resource_vis_END;179;690237;599008.1843575418;358;2;179;179;1.25 (+- 0.48);1.5;1.5;2
4;assignment_sub_START>assignment_vis_START>forum_vis_END>assignment_sub_END;191;690227;597213.4712041885;191;1;191;191;1.27 (+- 0.50);1.5;1.5;2
4;assignment_sub_START>assignment_vis_START>resource_vis_END>assignment_sub_END;315;690249;595982.3206349206;840;4;315;315;1.23 (+- 0.51);1.5;1.5;2
4;assignment_sub_START>assignment_try_END>assignment_sub_END>assignment_sub_END;169;690282;604847.5562130178;169;1;169;169;1.27 (+- 0.52);1.5;1.5;2
4;assignment_sub_START>assignment_vis_END>resource_vis_END>assignment_sub_END;227;690237;599033.7092511014;406;2;227;227;1.22 (+- 0.51);1.5;1.5;2
4;assignment_sub_START>resource_vis_END>assignment_sub_END>assignment_sub_END;197;690249;605271.4416243655;361;2;197;197;1.23 (+- 0.50);1.5;1.5;2
4;assignment_vis_START>assignment_try_END>assignment_sub_END>assignment_sub_END;199;690319;581894.1256281408;199;1;199;199;1.27 (+- 0.51);1.5;1.0;2
